state,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,5.7,4.5,4,4,5.7,11,10.5,9.6,8,7.2,6.8,6.1
AK,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,7.1,6.9,6.9,6.5
AZ,5,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1
AR,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.3,6.1,5.2
CA,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2
CO,5.5,5,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.8,5,3.9
CT,5,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.6
DE,4,4.1,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9
DC,7.8,6.4,5.8,5.5,6.5,9.3,9.4,10.2,9,8.5,7.8,6.9
FL,4.6,3.7,3.2,4,6.3,10.4,11.1,10,8.5,7.3,6.3,5.4
GA,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,5.9
HI,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6,4.9,4.4,3.6
ID,4.9,4,3.5,3.1,5.1,8.8,9,8.3,7.2,6.2,4.8,4.1
IL,6.2,5.7,4.5,5,6.3,10.2,10.4,9.7,9,9.1,7.1,5.9
IN,5.4,5.5,5,4.6,5.9,10.3,10.4,9.1,8.3,7.7,5.9,4.8
IA,4.5,4.3,3.7,3.7,4.2,6.4,6,5.5,5.1,4.7,4.2,3.7
KS,5.5,5,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.6,4.2
KY,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8.1,6.5,5.4
LA,5.9,7.2,4.5,4.3,4.9,6.8,8,7.8,7.1,6.7,6.4,6.3
ME,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4
MD,4.3,4.1,3.9,3.5,4.2,7,7.7,7.2,7,6.6,5.8,5.2
MA,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,5
MI,7,6.8,7,7,8,13.7,12.6,10.4,9.1,8.8,7.3,5.4
MN,4.7,4.1,4,4.6,5.4,7.8,7.4,6.5,5.6,4.9,4.2,3.7
MS,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10,9,8.6,7.6,6.5
MO,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,7,6.7,6.2,5
MT,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,6,5.4,4.7,4.1
NE,3.9,3.8,3.1,3,3.3,4.6,4.6,4.4,4,3.8,3.3,3
NV,4.3,4.1,4,4.5,6.7,11.3,13.5,13,11.2,9.6,7.9,6.7
NH,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4
NJ,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.7,5.6
NM,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,7.1,7,6.7,6.6
NY,5.8,5,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3
NC,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,9.3,7.9,6.3,5.7
ND,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.7
OH,6.3,5.9,5.4,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9
OK,4.9,4.5,4,4.1,3.7,6.4,6.8,5.9,5.3,5.3,4.5,4.2
OR,7.3,6.2,5.3,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.7
PA,5.4,5,4.6,4.4,5.3,8,8.5,7.9,7.8,7.4,5.9,5.1
RI,5.2,5,4.9,5.2,7.8,11,11.2,11,10.4,9.3,7.7,6
SC,6.8,6.7,6.4,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.4,6
SD,3.7,3.8,3.1,2.8,3.1,4.9,5,4.7,4.3,3.8,3.4,3.1
TN,5.3,5.6,5.2,4.7,6.6,10.5,9.7,9,7.8,7.8,6.5,5.8
TX,5.9,5.4,4.9,4.3,4.8,7.6,8.1,7.8,6.7,6.2,5.1,4.5
UT,5,4.1,3,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.5
VT,3.7,3.5,3.7,4,4.7,6.6,6.1,5.5,5,4.4,4,3.7
VA,3.8,3.6,3.1,3,3.9,6.7,7.1,6.6,6,5.7,5.2,4.4
WA,6.3,5.6,5,4.7,5.4,9.2,10,9.3,8.1,7,6.1,5.7
WV,5.3,5.1,4.9,4.6,4.3,7.7,8.7,8.1,7.5,6.7,6.6,6.7
WI,5,4.7,4.7,4.9,4.9,8.6,8.7,7.8,7,6.7,5.4,4.6
WY,3.8,3.6,3.2,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.2
PR,10.6,11.3,10.5,11.2,11.8,15.3,16.4,16,14.5,14.3,13.9,12
